Entity,Type,Year,LandUse
Beef (beef herd),Meat,2010,119.4908425
Lamb & Mutton,Meat,2010,116.659306
Cheese,Other,2010,22.68475452
Beef (dairy herd),Meat,2010,15.83882784
Milk,Other,2010,14.91666667
Dark Chocolate,Other,2010,13.3384913
Pig Meat,Meat,2010,7.263598326
Poultry Meat,Meat,2010,6.605405405
Fish (farmed),Meat,2010,4.698324022
Eggs,Other,2010,4.354166667
Berries & Grapes,Fruit,2010,4.228070175
Tomatoes,Vegetable,2010,4.210526316
Bananas,Fruit,2010,3.216666667
Oatmeal,Cereal,2010,2.897445673
Prawns (farmed),Meat,2010,2.883495146
Citrus,Fruit,2010,2.6875
Peas,Vegetable,2010,2.156069364
Nuts,Other,2010,2.107317073
Wheat & Rye,Cereal,2010,1.439074806
Apples,Fruit,2010,1.3125
Tofu,Other,2010,1.298892989
Potatoes,Vegetable,2010,1.202185792
Onions & Leeks,Vegetable,2010,1.054054054
Root Vegetables,Vegetable,2010,0.891891892
Rice,Cereal,2010,0.759631036
