Index,Country,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Norway,Switzerland,United Kingdom,Serbia,Türkiye
0,2012.0,20637.22,10363.41,18981.32,19183.9,103263.88,2643.55,20790.22,15804.38,50185.63,126783.46,7295.39,60985.79,791.15,4218.48,10514.9,954.28,12342.32,193.29,26042.27,10687.29,73972.0,10298.2,34431.02,2286.56,6127.58,15408.11,14886.95,1020.83,8404.51,9776.4,62903.47,3884.97,97771.0
1,2013.0,20056.95,11457.29,18206.08,19094.58,103815.27,2646.51,22170.14,14760.71,52133.23,125847.22,5341.12,58236.01,711.87,4304.94,9749.21,958.24,13516.71,187.56,26814.62,10554.32,74738.84,10264.9,35417.03,2200.49,6206.49,15497.06,15015.81,1012.05,8328.52,9789.81,62489.73,4080.67,103903.65
2,2014.0,20131.54,13379.58,18574.08,19471.23,104801.11,2725.08,21261.53,14122.63,54230.41,129862.36,5228.71,57868.75,695.17,4447.71,9999.98,976.51,14311.56,187.41,27313.21,10891.84,73456.38,10751.5,35205.63,2250.39,6700.23,15678.45,15281.37,1091.04,8384.42,9721.58,64659.12,3309.2,104770.18
3,2015.0,19594.6,14170.42,19881.78,19593.74,104921.31,2830.16,21452.37,14062.33,54880.47,129201.44,5661.76,56908.41,713.88,4627.51,10091.58,1001.4,14624.65,185.97,27994.7,10891.49,70952.12,10389.0,35105.01,2328.77,6062.41,15813.08,15469.42,1048.9,8680.52,9821.75,63027.09,0.0,107066.43
4,2016.0,18697.28,15325.95,20376.56,20021.35,104150.34,2733.83,21803.88,14416.61,54149.1,125425.63,4876.75,58522.7,737.54,4620.29,9891.32,1033.5,15510.11,180.39,26913.69,11149.36,72773.44,10143.0,35165.86,2338.82,6560.83,15794.54,15409.43,1057.49,8247.73,9647.1,62741.07,0.0,114030.49
5,2017.0,19319.63,15432.8,20127.62,20318.03,102597.67,2845.67,22960.44,14674.16,56286.05,130117.09,5284.4,57625.15,760.61,4657.21,10092.87,1039.22,15518.1,173.9,27749.57,10962.62,76192.55,10445.9,36711.52,2264.47,6041.3,15744.21,15945.56,1096.51,8174.11,10329.27,63705.57,0.0,117902.32
6,2018.0,18473.9,15334.88,18829.89,19557.89,98453.46,2804.55,24113.46,14497.78,56994.64,124768.94,5131.65,57605.73,770.98,4473.92,9650.26,1031.07,15678.4,174.67,27009.59,10871.69,76864.72,10517.0,39340.2,2314.56,6112.06,15641.46,15188.99,1060.04,8165.9,9886.23,63534.85,0.0,117574.27
7,2019.0,18282.7,15578.47,18055.56,20239.06,95456.41,3025.94,22778.42,14574.12,56253.89,123409.85,5147.62,56944.31,783.54,4770.18,9819.93,1053.6,15598.89,183.74,26668.78,10905.44,73179.67,10684.7,38136.84,2461.34,6227.35,16096.68,15118.98,1010.44,8308.13,10161.03,62779.15,0.0,122684.03
8,2020.0,17621.17,14917.14,17153.81,19898.26,92251.76,3027.82,22830.01,14879.56,57467.49,117836.15,5268.51,59672.24,807.15,4844.59,10566.06,1020.06,16144.83,180.62,26021.47,10781.88,76087.86,10610.4,35767.56,2462.03,6201.53,15679.57,15217.35,979.58,8020.51,0.0,0.0,0.0,134317.33
9,2021.0,17357.91,15310.26,17012.12,19761.08,90684.05,2958.53,22809.0,15099.83,57285.13,118407.4,5329.33,59298.87,810.93,4884.75,10383.46,1033.43,15982.92,179.48,25146.67,10781.2,75871.36,10655.89,38626.34,2339.09,6043.02,15604.95,15340.81,953.78,8312.99,0.0,0.0,0.0,0.0
