year,name,n
2012,Spain,881475.51
2012,France,1538129.22
2012,Italy,769774.26
2012,Netherlands,502856.76
2012,Poland,549470.36
2013,Spain,863158.21
2013,France,1536389.29
2013,Italy,770180.11
2013,Netherlands,513444.45
2013,Poland,550943.06
2014,Spain,883687.47
2014,France,1567554.9
2014,Italy,759054.5
2014,Netherlands,511174.45
2014,Poland,553388.58
2015,Spain,914269.78
2015,France,1571810.43
2015,Italy,763715.6
2015,Netherlands,529337.69
2015,Poland,557137.81
2016,Spain,925995.09
2016,France,1555715.47
2016,Italy,775275.54
2016,Netherlands,542490.12
2016,Poland,548721.31
2017,Spain,940973.88
2017,France,1541619.03
2017,Italy,777024.98
2017,Netherlands,541441.2
2017,Poland,565383.78
2018,Spain,947467.68
2018,France,1524519.79
2018,Italy,770533.47
2018,Netherlands,520101.18
2018,Poland,572261.08
2019,Spain,947957.76
2019,France,1498352.51
2019,Italy,768913.5
2019,Netherlands,523375.72
2019,Poland,572190.53
2020,Spain,963208.84
2020,France,1480502.03
2020,Italy,776205.48
2020,Netherlands,520117.59
2020,Poland,582846.62
2021,Spain,975903.49
2021,France,1480516.23
2021,Italy,763089.31
2021,Netherlands,514081.1
2021,Poland,582882.46
