awardYear,category,name,gender,birth_date,affiliation_1,birth_cityNow,birth_countryNow,motivation,award_link,laureate_link,img_online_path,img_local_path,age,affiliation_country,affiliation_zone,birth_zone,affiliation_lat,affiliation_lon,affiliation_zone_lat,affiliation_zone_lon,birth_lat,birth_lon,birth_zone_lat,birth_zone_lon
1901,Medicine,Emil von Behring,male,1854-03-15,"Marburg University, Marburg, Germany",Lawice,Poland,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths",https://masterdataapi.nobelprize.org/2/nobelPrize/med/1901,http://masterdataapi.nobelprize.org/2/laureate/293,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Emil_von_Behring_im_M%C3%A4rz_1914._Fotografie_von_Waldemar_Titzenthaler.jpg/220px-Emil_von_Behring_im_M%C3%A4rz_1914._Fotografie_von_Waldemar_Titzenthaler.jpg,faces/Q76425.jpg,47,Germany,Europe,Poland,51.42,10.6,48.55,5.72,0.0,0.0,0.0,0.0
1901,Chemistry,Jacobus H. van 't Hoff,male,1852-08-30,"Berlin University, Berlin, Germany",Rotterdam,the Netherlands,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1901,http://masterdataapi.nobelprize.org/2/laureate/160,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Vant_Hoff.jpg/220px-Vant_Hoff.jpg,faces/Q102822.jpg,49,Germany,Europe,Europe,51.42,10.6,48.55,5.72,52.52,5.74,48.55,5.72
1901,Literature,Sully Prudhomme,male,1839-03-16,,Paris,France,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1901,http://masterdataapi.nobelprize.org/2/laureate/569,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Sully_Prudhomme%2C_Ren%C3%A9-Fran%C3%A7ois-Armand%2C_BNF_Gallica.jpg/220px-Sully_Prudhomme%2C_Ren%C3%A9-Fran%C3%A7ois-Armand%2C_BNF_Gallica.jpg,faces/Q42247.jpg,62,,,Europe,0.0,0.0,0.0,0.0,46.97,2.7,48.55,5.72
1901,Peace,Henry Dunant,male,1828-05-08,,Geneva,Switzerland,for his humanitarian efforts to help wounded soldiers and create international understanding,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1901,http://masterdataapi.nobelprize.org/2/laureate/462,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Jean_Henri_Dunant.jpg/220px-Jean_Henri_Dunant.jpg,faces/Q12091.jpg,73,,,Europe,0.0,0.0,0.0,0.0,47.0,8.43,48.55,5.72
1901,Physics,Wilhelm Conrad Röntgen,male,1845-03-27,"Munich University, Munich, Germany",Remscheid,Germany,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1901,http://masterdataapi.nobelprize.org/2/laureate/1,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Roentgen2.jpg/220px-Roentgen2.jpg,faces/Q35149.jpg,56,Germany,Europe,Europe,51.42,10.6,48.55,5.72,51.42,10.6,48.55,5.72
1901,Peace,Frédéric Passy,male,1822-05-20,,Paris,France,"for his lifelong work for international peace conferences, diplomacy and arbitration",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1901,http://masterdataapi.nobelprize.org/2/laureate/463,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Frederic_Passy.jpg/220px-Frederic_Passy.jpg,faces/Q180409.jpg,79,,,Europe,0.0,0.0,0.0,0.0,46.97,2.7,48.55,5.72
1902,Physics,Hendrik A. Lorentz,male,1853-07-18,"Leiden University, Leiden, the Netherlands",Arnhem,the Netherlands,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1902,http://masterdataapi.nobelprize.org/2/laureate/2,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/H_A_Lorentz_%28Nobel%29.jpg/220px-H_A_Lorentz_%28Nobel%29.jpg,faces/Q41688.jpg,49,the Netherlands,Europe,Europe,52.52,5.74,48.55,5.72,52.52,5.74,48.55,5.72
1902,Literature,Theodor Mommsen,male,1817-11-30,,Garding,Germany,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1902,http://masterdataapi.nobelprize.org/2/laureate/571,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Theodor_Mommsen_2.jpg/220px-Theodor_Mommsen_2.jpg,faces/Q25351.jpg,85,,,Europe,0.0,0.0,0.0,0.0,51.42,10.6,48.55,5.72
1902,Peace,Albert Gobat,male,1843-05-21,,Tramelan,Switzerland,for his eminently practical administration of the Inter-Parliamentary Union,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1902,http://masterdataapi.nobelprize.org/2/laureate/465,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Charles_Albert_Gobat2.jpg/220px-Charles_Albert_Gobat2.jpg,faces/Q179458.jpg,59,,,Europe,0.0,0.0,0.0,0.0,47.0,8.43,48.55,5.72
1902,Physics,Pieter Zeeman,male,1865-05-25,"Amsterdam University, Amsterdam, the Netherlands",Zonnemaire,the Netherlands,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1902,http://masterdataapi.nobelprize.org/2/laureate/3,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Pieter_Zeeman.jpg/220px-Pieter_Zeeman.jpg,faces/Q79000.jpg,37,the Netherlands,Europe,Europe,52.52,5.74,48.55,5.72,52.52,5.74,48.55,5.72
