source,target,weight
Emil von Behring,Medicine,1
Emil von Behring,Europe,1
Jacobus H. van 't Hoff,Chemistry,1
Jacobus H. van 't Hoff,Europe,1
Sully Prudhomme,Literature,1
Henry Dunant,Peace,1
Wilhelm Conrad Röntgen,Physics,1
Wilhelm Conrad Röntgen,Europe,1
Frédéric Passy,Peace,1
Hendrik A. Lorentz,Physics,1
Hendrik A. Lorentz,Europe,1
Theodor Mommsen,Literature,1
Albert Gobat,Peace,1
Pieter Zeeman,Physics,1
Pieter Zeeman,Europe,1
Ronald Ross,Medicine,1
Ronald Ross,Europe,1
Élie Ducommun,Peace,1
Emil Fischer,Chemistry,1
Emil Fischer,Europe,1
Randal Cremer,Peace,1
Pierre Curie,Physics,1
Pierre Curie,Europe,1
Henri Becquerel,Physics,1
Henri Becquerel,Europe,1
Svante Arrhenius,Chemistry,1
Svante Arrhenius,Europe,1
Bjørnstjerne Bjørnson,Literature,1
Niels Ryberg Finsen,Medicine,1
Niels Ryberg Finsen,Europe,1
Marie Curie,Physics,1
Lord Rayleigh,Physics,1
Lord Rayleigh,Europe,1
Frédéric Mistral,Literature,1
José Echegaray,Literature,1
Sir William Ramsay,Chemistry,1
Sir William Ramsay,Europe,1
Ivan Pavlov,Medicine,1
Ivan Pavlov,Russia,1
Robert Koch,Medicine,1
Robert Koch,Europe,1
Henryk Sienkiewicz,Literature,1
Adolf von Baeyer,Chemistry,1
Adolf von Baeyer,Europe,1
Philipp Lenard,Physics,1
Philipp Lenard,Europe,1
Bertha von Suttner,Peace,1
Giosuè Carducci,Literature,1
Henri Moissan,Chemistry,1
Henri Moissan,Europe,1
Theodore Roosevelt,Peace,1
Santiago Ramón y Cajal,Medicine,1
Santiago Ramón y Cajal,Europe,1
Camillo Golgi,Medicine,1
Camillo Golgi,Europe,1
J.J. Thomson,Physics,1
J.J. Thomson,Europe,1
Ernesto Teodoro Moneta,Peace,1
Albert A. Michelson,Physics,1
Albert A. Michelson,North America,1
Louis Renault,Peace,1
Louis Renault,Europe,1
Rudyard Kipling,Literature,1
Eduard Buchner,Chemistry,1
Eduard Buchner,Europe,1
Alphonse Laveran,Medicine,1
Alphonse Laveran,Europe,1
Ernest Rutherford,Chemistry,1
Ernest Rutherford,Europe,1
Fredrik Bajer,Peace,1
Ilya Mechnikov,Medicine,1
Ilya Mechnikov,Europe,1
Paul Ehrlich,Medicine,1
Paul Ehrlich,Europe,1
Rudolf Eucken,Literature,1
Gabriel Lippmann,Physics,1
Gabriel Lippmann,Europe,1
Klas Pontus Arnoldson,Peace,1
Theodor Kocher,Medicine,1
Theodor Kocher,Europe,1
Paul Henri d'Estournelles de Constant,Peace,1
Wilhelm Ostwald,Chemistry,1
Wilhelm Ostwald,Europe,1
Auguste Beernaert,Peace,1
Ferdinand Braun,Physics,1
Ferdinand Braun,Europe,1
Guglielmo Marconi,Physics,1
Guglielmo Marconi,Europe,1
Selma Lagerlöf,Literature,1
Johannes Diderik van der Waals,Physics,1
Johannes Diderik van der Waals,Europe,1
Otto Wallach,Chemistry,1
Otto Wallach,Europe,1
Albrecht Kossel,Medicine,1
Albrecht Kossel,Europe,1
Paul Heyse,Literature,1
Tobias Asser,Peace,1
Wilhelm Wien,Physics,1
Wilhelm Wien,Europe,1
Maurice Maeterlinck,Literature,1
Marie Curie,Chemistry,1
Marie Curie,Europe,1
Alfred Fried,Peace,1
Allvar Gullstrand,Medicine,1
Allvar Gullstrand,Europe,1
Victor Grignard,Chemistry,1
Victor Grignard,Europe,1
Gustaf Dalén,Physics,1
Gustaf Dalén,Europe,1
Gerhart Hauptmann,Literature,1
Elihu Root,Peace,1
Alexis Carrel,Medicine,1
Alexis Carrel,North America,1
Paul Sabatier,Chemistry,1
Paul Sabatier,Europe,1
Rabindranath Tagore,Literature,1
Henri La Fontaine,Peace,1
Charles Richet,Medicine,1
Charles Richet,Europe,1
Alfred Werner,Chemistry,1
Alfred Werner,Europe,1
Heike Kamerlingh Onnes,Physics,1
Heike Kamerlingh Onnes,Europe,1
Max von Laue,Physics,1
Max von Laue,Europe,1
Theodore W. Richards,Chemistry,1
Theodore W. Richards,North America,1
Robert Bárány,Medicine,1
Robert Bárány,Europe,1
Richard Willstätter,Chemistry,1
Richard Willstätter,Europe,1
Romain Rolland,Literature,1
William Bragg,Physics,1
William Bragg,Europe,1
Lawrence Bragg,Physics,1
Lawrence Bragg,Europe,1
Verner von Heidenstam,Literature,1
Karl Gjellerup,Literature,1
Henrik Pontoppidan,Literature,1
Charles Glover Barkla,Physics,1
Charles Glover Barkla,Europe,1
Fritz Haber,Chemistry,1
Fritz Haber,Europe,1
Max Planck,Physics,1
Max Planck,Europe,1
Johannes Stark,Physics,1
Johannes Stark,Europe,1
Jules Bordet,Medicine,1
Jules Bordet,Europe,1
Carl Spitteler,Literature,1
Woodrow Wilson,Peace,1
Léon Bourgeois,Peace,1
Walther Nernst,Chemistry,1
Walther Nernst,Europe,1
Charles Edouard Guillaume,Physics,1
Charles Edouard Guillaume,Europe,1
Knut Hamsun,Literature,1
August Krogh,Medicine,1
August Krogh,Europe,1
Albert Einstein,Physics,1
Albert Einstein,Europe,1
Hjalmar Branting,Peace,1
Anatole France,Literature,1
Frederick Soddy,Chemistry,1
Frederick Soddy,Europe,1
Christian Lange,Peace,1
Fridtjof Nansen,Peace,1
Niels Bohr,Physics,1
Niels Bohr,Europe,1
Francis W. Aston,Chemistry,1
Francis W. Aston,Europe,1
Jacinto Benavente,Literature,1
Otto Meyerhof,Medicine,1
Otto Meyerhof,Europe,1
Archibald V. Hill,Medicine,1
Archibald V. Hill,Europe,1
John Macleod,Medicine,1
John Macleod,North America,1
Fritz Pregl,Chemistry,1
Fritz Pregl,Europe,1
Frederick G. Banting,Medicine,1
Frederick G. Banting,North America,1
William Butler Yeats,Literature,1
Robert A. Millikan,Physics,1
Robert A. Millikan,North America,1
Manne Siegbahn,Physics,1
Manne Siegbahn,Europe,1
Willem Einthoven,Medicine,1
Willem Einthoven,Europe,1
Wladyslaw Reymont,Literature,1
Sir Austen Chamberlain,Peace,1
George Bernard Shaw,Literature,1
Gustav Hertz,Physics,1
Gustav Hertz,Europe,1
Charles G. Dawes,Peace,1
James Franck,Physics,1
James Franck,Europe,1
Richard Zsigmondy,Chemistry,1
Richard Zsigmondy,Europe,1
The Svedberg,Chemistry,1
The Svedberg,Europe,1
Grazia Deledda,Literature,1
Gustav Stresemann,Peace,1
Aristide Briand,Peace,1
Jean Baptiste Perrin,Physics,1
Jean Baptiste Perrin,Europe,1
Johannes Fibiger,Medicine,1
Johannes Fibiger,Europe,1
Ferdinand Buisson,Peace,1
Arthur H. Compton,Physics,1
Arthur H. Compton,North America,1
Julius Wagner-Jauregg,Medicine,1
Julius Wagner-Jauregg,Europe,1
Heinrich Wieland,Chemistry,1
Heinrich Wieland,Europe,1
