name,count,mean_canopy_cover
Celtis australis,1028,42.336186770427965
Aesculus hippocastanum,581,40.886919104991165
Carpinus betulus,536,13.545895522388207
Tilia cordata,509,19.849115913556044
Platanus x hispanica,502,102.36274900398422
Tilia x europaea,471,33.697876857749485
Acer campestre,458,11.875764192139782
Cupressus,399,4.490726817042577
Sophora japonica,376,39.656648936170185
Prunus cerasifera,350,13.30057142857147
Pinus nigra,335,23.548955223880736
Liriodendron tulipifera,301,11.181727574750791
Quercus robur,272,16.781617647058837
Parrotia persica,272,6.696323529411736
Robinia pseudoacacia,269,32.61561338289967
Cedrus deodara,246,76.58658536585355
Platanus x acerifolia 'Bloodgood',220,49.921818181818274
Ostrya carpinifolia,211,13.715165876777233
Prunus avium,208,14.20528846153844
Acer negundo,178,46.40112359550573
Acer pseudoplatanus,171,23.79181286549705
Pyrus calleryana,167,21.663473053892215
Acer platanoides,157,31.02229299363065
Cupressus sempervirens,151,5.078145695364235
Quercus rubra,148,23.429054054054053
Fraxinus excelsior,144,27.93055555555551
Liquidambar styraciflua,141,16.278014184397133
Fraxinus angustifolia,132,11.982575757575741
Fraxinus ornus,131,22.174045801526738
Betula pendula,130,22.091538461538416
Picea abies,130,25.848461538461542
Fagus sylvatica,120,25.3958333333333
Populus nigra,110,48.512727272727325
Betula,103,10.333980582524271
Morus nigra,92,36.09565217391305
Acer saccharinum,89,42.19438202247192
Corylus colurna,88,16.953409090909066
Morus alba,76,33.07236842105265
Alnus,74,8.641891891891902
Acer,73,45.65753424657534
Cedrus atlantica,70,65.0428571428572
Fraxinus,69,14.288405797101449
Quercus pubescens,67,33.90895522388062
Tilia platyphyllos,61,37.475409836065566
Gleditsia triacanthos,60,32.73166666666665
Magnolia grandiflora,60,7.041666666666674
Ginkgo biloba,59,32.41016949152539
Cercis siliquastrum,56,11.376785714285722
Cedrus libani,52,97.64423076923079
Ulmus,51,81.96274509803928
Taxus baccata,47,32.117021276595736
Ulmus minor,46,62.654347826086955
Acer palmatum,41,22.22682926829269
Prunus,38,11.586842105263168
Quercus petraea,38,31.54473684210525
Ligustrum lucidum,36,23.17777777777778
Fraxinus americana,36,9.036111111111115
Thuja orientalis,36,19.647222222222233
Acer buergerianum,35,9.982857142857151
Crataegus,31,3.699999999999998
Pseudotsuga menziesii,31,27.487096774193553
Abies alba,31,29.08064516129032
