year,name,n
1,1993_min,-9.0
1,1993_max,12.0
2,1993_min,-6.0
2,1993_max,11.0
3,1993_min,-5.0
3,1993_max,27.0
4,1993_min,-1.0
4,1993_max,30.0
5,1993_min,6.0
5,1993_max,34.0
6,1993_min,10.0
6,1993_max,32.0
7,1993_min,8.0
7,1993_max,32.0
8,1993_min,7.0
8,1993_max,37.0
9,1993_min,6.0
9,1993_max,29.0
10,1993_min,-1.0
10,1993_max,21.0
11,1993_min,-7.0
11,1993_max,16.0
12,1993_min,-11.0
12,1993_max,10.0
1,1997_min,-6.0
1,1997_max,8.0
2,1997_min,-7.0
2,1997_max,14.0
3,1997_min,-2.0
3,1997_max,25.0
4,1997_min,-1.0
4,1997_max,26.0
5,1997_min,5.0
5,1997_max,32.0
6,1997_min,8.0
6,1997_max,32.0
7,1997_min,9.0
7,1997_max,33.0
8,1997_min,10.0
8,1997_max,35.0
9,1997_min,6.0
9,1997_max,33.0
10,1997_min,-5.0
10,1997_max,26.0
11,1997_min,-3.0
11,1997_max,16.0
12,1997_min,-7.0
12,1997_max,13.0
1,2001_min,-8.0
1,2001_max,9.0
2,2001_min,-6.0
2,2001_max,14.0
3,2001_min,-1.0
3,2001_max,22.0
4,2001_min,0.0
4,2001_max,24.0
5,2001_min,7.0
5,2001_max,34.0
6,2001_min,6.0
6,2001_max,34.0
7,2001_min,12.0
7,2001_max,36.0
8,2001_min,10.0
8,2001_max,34.0
9,2001_min,3.0
9,2001_max,28.0
10,2001_min,5.0
10,2001_max,22.0
11,2001_min,-6.0
11,2001_max,17.0
12,2001_min,-11.0
12,2001_max,13.0
1,2005_min,-6.7
1,2005_max,11.0
2,2005_min,-6.8
2,2005_max,12.2
3,2005_min,-8.2
3,2005_max,26.2
4,2005_min,2.9
4,2005_max,27.3
5,2005_min,7.4
5,2005_max,32.8
6,2005_min,10.0
6,2005_max,37.3
7,2005_min,12.8
7,2005_max,35.6
8,2005_min,12.2
8,2005_max,33.2
9,2005_min,9.6
9,2005_max,32.5
10,2005_min,2.9
10,2005_max,19.6
11,2005_min,-4.8
11,2005_max,14.6
12,2005_min,-9.6
12,2005_max,8.8
1,2009_min,-8.9
1,2009_max,10.2
2,2009_min,-4.8
2,2009_max,16.7
3,2009_min,-0.6
3,2009_max,19.2
4,2009_min,6.0
4,2009_max,25.2
5,2009_min,9.5
5,2009_max,33.6
6,2009_min,10.0
6,2009_max,31.7
7,2009_min,13.1
7,2009_max,33.9
8,2009_min,13.4
8,2009_max,33.5
9,2009_min,10.0
9,2009_max,30.1
10,2009_min,0.6
10,2009_max,24.7
11,2009_min,-1.4
11,2009_max,14.0
12,2009_min,-9.5
12,2009_max,12.2
1,2013_min,-3.3
1,2013_max,17.7
2,2013_min,-3.4
2,2013_max,12.6
3,2013_min,-0.8
3,2013_max,16.0
4,2013_min,3.5
4,2013_max,26.8
5,2013_min,5.1
5,2013_max,26.5
6,2013_min,10.1
6,2013_max,33.4
7,2013_min,13.7
7,2013_max,35.8
8,2013_min,13.3
8,2013_max,36.0
9,2013_min,9.3
9,2013_max,29.5
10,2013_min,5.2
10,2013_max,20.1
11,2013_min,-4.4
11,2013_max,17.6
12,2013_min,-3.5
12,2013_max,15.5
1,2017_min,-7.7
1,2017_max,9.3
2,2017_min,-0.8
2,2017_max,13.8
3,2017_min,1.2
3,2017_max,24.0
4,2017_min,3.6
4,2017_max,24.0
5,2017_min,5.8
5,2017_max,31.2
6,2017_min,9.8
6,2017_max,33.7
7,2017_min,12.2
7,2017_max,33.7
8,2017_min,13.4
8,2017_max,35.5
9,2017_min,7.1
9,2017_max,25.9
10,2017_min,2.4
10,2017_max,21.3
11,2017_min,-3.5
11,2017_max,13.8
12,2017_min,-6.7
12,2017_max,10.1
1,2021_min,-9.4
1,2021_max,8.2
2,2021_min,-4.4
2,2021_max,18.9
3,2021_min,-1.5
3,2021_max,25.3
4,2021_min,-0.7
4,2021_max,25.6
5,2021_min,7.0
5,2021_max,26.6
6,2021_min,13.1
6,2021_max,33.6
7,2021_min,14.4
7,2021_max,33.5
8,2021_min,9.6
8,2021_max,32.9
9,2021_min,11.1
9,2021_max,29.7
10,2021_min,1.7
10,2021_max,22.0
11,2021_min,-2.3
11,2021_max,14.1
12,2021_min,-5.7
12,2021_max,11.5
