circoscrizioni,Celtis australis,Aesculus hippocastanum,Carpinus betulus,Tilia cordata,Platanus x hispanica,Tilia x europaea,Acer campestre,Cupressus,Sophora japonica,Prunus cerasifera,Other
SARDAGNA,0,0,0,0,0,0,0,6,0,0,33
MEANO,9,0,2,1,9,19,0,20,1,0,145
ARGENTARIO,61,9,18,5,12,10,34,25,5,5,270
BONDONE,1,21,3,9,2,28,9,23,7,2,187
MATTARELLO,25,1,13,6,6,5,2,25,13,8,160
OLTREFERSINA,341,34,126,116,31,100,128,17,8,106,1688
POVO,21,13,1,1,2,16,7,14,3,1,110
RAVINA-ROMAGNANO,15,3,5,34,23,18,1,16,1,14,189
S.GIUSEPPE-S.CHIARA,83,405,123,31,53,118,181,212,52,157,1609
VILLAZZANO,19,0,33,35,3,10,7,25,14,0,270
GARDOLO,211,4,53,216,169,105,37,14,158,11,673
CENTRO STORICO PIEDICASTELLO,242,91,159,55,192,42,52,2,114,46,1969
