tree_name,SARDAGNA,MEANO,ARGENTARIO,BONDONE,MATTARELLO,OLTREFERSINA,POVO,RAVINA-ROMAGNANO,S.GIUSEPPE-S.CHIARA,VILLAZZANO,GARDOLO,CENTRO STORICO PIEDICASTELLO
Celtis australis,0,9,61,1,25,341,21,15,83,19,211,242
Aesculus hippocastanum,0,0,9,21,1,34,13,3,405,0,4,91
Carpinus betulus,0,2,18,3,13,126,1,5,123,33,53,159
Tilia cordata,0,1,5,9,6,116,1,34,31,35,216,55
Platanus x hispanica,0,9,12,2,6,31,2,23,53,3,169,192
Tilia x europaea,0,19,10,28,5,100,16,18,118,10,105,42
Acer campestre,0,0,34,9,2,128,7,1,181,7,37,52
Cupressus,6,20,25,23,25,17,14,16,212,25,14,2
Sophora japonica,0,1,5,7,13,8,3,1,52,14,158,114
Prunus cerasifera,0,0,5,2,8,106,1,14,157,0,11,46
Other,32,145,270,187,160,1688,110,189,1609,270,673,1969
