name,height,co2_absorption,canopy_cover
Cupressus,8,11.1,1.8
Sophora japonica,5,1.6,3.1
Tilia cordata,4.5,0.8,7.1
Tilia cordata,5,1.3,7.1
Tilia cordata,5,1.3,7.1
Tilia cordata,4,0.7,3.1
Tilia cordata,6,2.4,28.3
Tilia cordata,7,2.3,28.3
Tilia cordata,7,2.3,28.3
Tilia cordata,7,1.7,19.6
Acer campestre,6,0.5,3.1
Acer campestre,8,0.9,3.1
Acer campestre,4,1,7.1
Acer campestre,5,0.6,3.1
Tilia cordata,4.5,0.8,7.1
Tilia cordata,4.5,1.1,4.9
Tilia cordata,4.5,0.8,0.8
Tilia cordata,4.5,0.8,3.1
Tilia cordata,5,1.3,7.1
Tilia cordata,5,1.3,7.1
Tilia cordata,5,1.3,7.1
Tilia cordata,4.5,0.8,7.1
Tilia cordata,2,0.8,0.8
Sophora japonica,5,0.9,3.1
Sophora japonica,5,0.9,3.1
Tilia cordata,4.5,0.7,3.1
Tilia cordata,4.5,0.7,3.1
Tilia cordata,5,1.3,7.1
Tilia cordata,5,1.3,7.1
Tilia cordata,4.5,1,4.9
Tilia cordata,4.5,1.1,4.9
Tilia cordata,4.5,1.1,4.9
Tilia cordata,5,1.1,4.9
Tilia cordata,4.5,1.1,4.9
Tilia cordata,5,1.3,4.9
Tilia cordata,5,1.3,4.9
Tilia cordata,5,1.3,4.9
Tilia cordata,5,1.3,7.1
Tilia cordata,5,1.3,7.1
Tilia cordata,5,1.3,7.1
Tilia cordata,5,1.3,4.9
Tilia cordata,5,1.3,4.9
Tilia cordata,6,1.6,12.6
Tilia cordata,6,1.6,12.6
Tilia cordata,6,2.6,19.6
Cupressus,10,6.1,0.8
Cupressus,10,6.1,0.8
Cupressus,10,6.1,0.8
Carpinus betulus,4.5,1.9,3.1
Carpinus betulus,4,1.9,1.8
Carpinus betulus,5,1.9,12.6
Carpinus betulus,4.5,1.7,7.1
Tilia cordata,5,1.1,12.6
Tilia cordata,5,1.1,12.6
Tilia cordata,4,1.1,12.6
Tilia cordata,5,1.1,12.6
Tilia cordata,5,1.1,12.6
Tilia cordata,5,1.1,12.6
Carpinus betulus,4,1.9,7.1
Cupressus,14,8.4,0.8
Cupressus,14,8.4,0.8
Cupressus,14,8.4,0.8
Cupressus,14,8.4,0.8
Cupressus,14,8.4,0.8
Cupressus,14,8.4,0.8
Carpinus betulus,4,1.9,7.1
Carpinus betulus,4.5,2.1,12.6
Celtis australis,6,0.8,28.3
Celtis australis,6,0.8,28.3
Celtis australis,6,0.1,28.3
Celtis australis,5.5,0.8,19.6
Celtis australis,6.5,0.8,28.3
Celtis australis,4.5,1,19.6
Celtis australis,5,0.9,19.6
Celtis australis,4.5,0.9,19.6
Celtis australis,4.5,0.8,19.6
Acer campestre,11,2.4,50.3
Celtis australis,4,0.8,12.6
Celtis australis,4,0.8,12.6
Celtis australis,4,0.8,12.6
Celtis australis,4,0.8,12.6
Celtis australis,4,0.8,12.6
Celtis australis,4,0.7,12.6
Tilia cordata,8,1.9,28.3
Tilia cordata,8,1.9,28.3
Tilia cordata,10,3.6,50.3
Celtis australis,9,1.6,153.9
Celtis australis,8,1.4,113.1
Celtis australis,8,1.4,113.1
Prunus cerasifera,10,7.8,50.3
Cupressus,10,7,0.8
Cupressus,14,15.1,3.1
Cupressus,14,19.6,3.1
Platanus x hispanica,15,11.3,63.6
Tilia cordata,7,2.4,28.3
Tilia cordata,7,2.4,28.3
Tilia cordata,7,2.4,28.3
Tilia cordata,7,2.4,28.3
Tilia cordata,7,2.4,28.3
Tilia cordata,6,1.9,19.6
Tilia cordata,6,1.9,19.6
Tilia cordata,6,1.9,12.6
Tilia cordata,6,1.9,19.6
Tilia cordata,7,2.6,28.3
Tilia cordata,7,2.6,28.3
Tilia cordata,7,2.6,28.3
Tilia cordata,7,1.7,19.6
Acer campestre,8,1.8,63.6
Tilia cordata,6,1.9,12.6
Tilia cordata,6,1.1,12.6
Tilia cordata,8,2.4,28.3
Tilia cordata,8,1.9,12.6
Tilia cordata,8,1.9,12.6
Tilia cordata,8,1.9,12.6
Tilia cordata,8,2.4,12.6
Tilia cordata,8,2.4,12.6
