year,Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Norway,Switzerland,United Kingdom,Serbia,Türkiye
2012,304024.04,243276.05,524117.73,290245.22,2243272.66,43928.08,518778.88,418105.21,1509590.07,2217843.01,136314.97,1759254.54,34022.35,60821.59,133695.39,21868.76,322870.71,5958.75,716020.29,256723.58,1818605.41,379772.3,977021.11,77886.08,141738.41,196246.25,191439.4,24542.62,193174.47,196072.6,2331960.58,332792.16,2171120.37
2013,296552.03,240434.08,498785.98,286898.49,2217512.92,43850.01,529642.38,409676.09,1461584.34,2208685.08,132456.28,1701573.37,33684.55,62848.13,131224.42,22032.06,314716.25,5864.1,714755.76,252357.24,1826217.2,370638.5,954081.99,75424.96,141053.32,191402.94,187663.67,24640.85,192786.82,193374.34,2168975.81,334146.33,2148801.07
2014,293867.68,242916.05,500084.95,286022.83,2181015.42,42815.94,533935.01,402257.24,1435287.95,2209730.42,132787.91,1676633.95,33868.31,64488.37,129805.75,22389.52,310272.7,6330.9,701936.03,248084.44,1809922.71,366035.9,944117.13,72780.52,135607.58,187403.0,182101.96,25085.89,192127.48,193798.61,2088285.68,322648.79,2225707.72
2015,293103.09,247179.76,499555.5,282693.9,2169928.17,39150.45,555153.1,394127.41,1491613.34,2171666.39,134697.93,1669831.62,34141.11,62092.2,128997.22,22457.35,310743.28,6793.16,709031.8,244750.21,1829232.62,358002.5,939956.21,74478.51,133674.82,186385.79,177592.53,25320.92,193041.63,192702.33,2054006.83,0.0,2047912.53
2016,290466.39,240904.08,471008.51,285483.79,2121887.85,38439.05,570935.5,381936.14,1483510.98,2153229.73,137684.89,1656008.81,35084.25,63032.62,124957.94,22808.63,308956.55,7192.33,713844.08,241647.65,1796677.1,355073.4,917494.57,75801.01,131440.6,180699.49,174404.61,24993.59,189431.35,191022.07,1988883.92,0.0,2160157.8
2017,284795.03,236851.64,462032.67,285919.77,2098644.3,38814.4,587335.75,393934.08,1496407.13,2139365.02,136579.34,1648731.9,35819.81,64059.98,122502.29,22967.35,310642.93,7066.31,701286.97,240557.19,1792731.49,356341.3,899935.17,74307.56,130356.61,176100.54,173058.65,24528.58,184472.22,188747.68,2006164.25,0.0,2196882.5
2018,281910.75,227212.44,456924.25,288239.46,2026549.66,38685.91,599372.88,399534.54,1505056.72,2110414.72,131523.59,1627817.39,36317.94,60545.57,114654.81,22990.97,312217.33,7350.09,664065.08,233036.71,1775047.2,354574.8,883368.98,72419.27,127225.26,173604.71,169995.32,24494.93,181741.68,187701.28,2002932.13,0.0,2350885.67
2019,279301.28,219037.39,446186.91,282016.74,1945094.95,39077.75,583958.51,390922.3,1484763.37,2089363.69,130381.0,1588035.07,36925.72,61214.72,112695.73,22530.57,311263.62,7631.69,673262.46,227658.75,1685115.19,355629.5,891093.87,72339.03,126241.86,171710.8,164442.9,22906.4,175942.92,184398.43,1939633.22,0.0,2455894.95
2020,274464.56,212673.41,423196.88,282632.84,1909717.3,38765.81,590362.64,379382.65,1482124.48,2048049.85,128308.8,1624138.82,38369.35,60863.16,109280.74,22885.71,310881.77,7706.43,664379.72,223995.49,1674778.42,349810.3,869966.06,71542.13,123742.07,169241.33,161044.84,23673.06,174136.77,0.0,0.0,0.0,2480287.64
2021,274239.31,213517.91,428499.15,284050.83,1860982.11,38678.3,607817.59,375578.51,1497246.35,2048069.49,124232.35,1578229.3,38549.06,60854.86,106814.33,22571.04,309467.19,7944.58,653476.87,222842.28,1659014.85,354145.23,860774.87,69390.31,121837.53,166186.49,161322.8,20428.83,174405.23,0.0,0.0,0.0,0.0
