Country,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Norway,Switzerland,United Kingdom,Serbia,Türkiye
2012,13322.34,8572.44,14536.82,16591.61,79734.9,2313.95,19609.95,11965.46,39466.89,116820.67,4544.81,44588.02,652.76,3699.18,8075.04,783.0,11188.97,144.06,18019.41,8423.96,62468.08,7886.1,28519.13,1736.93,2941.38,12593.62,11404.48,941.6,5730.53,6626.0,47147.99,1219.19,78282.78
2013,13470.08,9764.48,14353.72,16474.34,80186.94,2299.68,21017.96,12053.19,41995.69,115961.98,3974.33,42216.93,587.61,3778.82,8091.89,781.1,12283.28,141.6,18785.71,8356.86,64091.38,8038.6,31548.99,1721.52,3323.53,12513.51,11592.64,923.5,5803.06,6567.0,47099.77,1250.33,83895.68
2014,13847.58,11650.41,14553.7,16914.19,82611.91,2409.43,20091.67,11317.82,44320.23,119752.13,3801.05,42503.56,571.77,3901.51,8407.26,785.5,12854.25,139.65,19028.05,8722.7,63328.09,8468.6,31480.64,1810.44,3738.72,12802.33,11864.49,999.87,5954.25,6808.0,48888.58,1207.94,84072.59
2015,13597.79,12357.9,15724.53,16902.67,81888.86,2520.54,20284.66,11087.63,44881.46,118588.66,4073.2,41945.93,591.02,4060.58,8710.93,784.94,13221.46,140.66,19534.42,8731.99,60876.33,8233.5,31848.76,1828.51,3279.01,12830.14,11984.82,947.13,6035.1,6597.0,47252.96,0.0,87188.8
2016,13039.95,13590.11,16350.89,17233.22,81311.06,2399.95,20530.7,11368.53,44204.32,115597.05,3946.39,43729.38,607.74,4067.8,8621.13,811.86,14115.15,134.62,19153.77,9055.89,62273.41,8047.1,31877.99,1826.77,3672.85,12848.81,11875.01,936.31,6030.8,6555.0,47277.17,0.0,94426.9
2017,13689.11,13742.2,16334.67,17467.47,79778.82,2503.83,21642.34,11489.53,45927.43,118014.05,4379.38,42513.92,621.41,4092.65,8706.9,817.42,14100.97,133.69,19741.89,8809.68,66188.4,8109.8,33685.56,1793.43,3333.76,12791.72,12325.67,968.36,5967.52,6701.0,48220.32,0.0,97474.21
2018,13167.52,13601.61,15239.67,16597.41,75756.27,2451.28,22781.64,11182.89,46535.54,114885.51,4400.97,42491.84,620.59,3881.3,8345.27,801.5,14134.23,134.18,19471.62,8621.32,66519.6,8194.0,36361.45,1801.53,3386.85,12638.24,11774.76,924.22,5923.82,6577.0,47897.19,0.0,96474.94
2019,13402.27,13937.31,14460.5,17353.42,74701.96,2700.74,21443.58,11311.0,45437.38,113979.08,4391.08,42178.47,635.91,4200.47,8501.25,801.13,14089.24,134.21,19120.97,8491.86,62847.4,8385.6,35378.99,1815.56,3525.89,13133.14,11774.63,890.2,6049.59,6495.0,47163.36,0.0,101564.58
2020,13239.92,13399.86,13705.19,17291.63,73528.32,2707.18,21545.73,11669.66,46656.73,109156.89,4452.47,45812.37,657.61,4318.34,9281.31,778.35,14518.63,137.04,19168.4,8545.26,65997.32,8534.6,33237.47,1824.22,3589.73,12928.93,12205.84,903.45,6018.46,0.0,0.0,0.0,112951.3
2021,13233.57,13640.58,13204.56,17289.17,71587.49,2634.07,21568.32,11580.04,46200.35,109272.27,4615.93,45251.82,660.7,4329.68,9052.17,779.21,14405.28,135.98,18825.17,8559.85,64896.14,8645.92,35563.38,1821.33,3497.98,12708.93,12204.47,861.34,6111.15,0.0,0.0,0.0,0.0
