year,name,n
2012,Spain,39466.89
2012,France,116820.67
2012,Italy,44588.02
2012,Netherlands,18019.41
2012,Poland,62468.08
2013,Spain,41995.69
2013,France,115961.98
2013,Italy,42216.93
2013,Netherlands,18785.71
2013,Poland,64091.38
2014,Spain,44320.23
2014,France,119752.13
2014,Italy,42503.56
2014,Netherlands,19028.05
2014,Poland,63328.09
2015,Spain,44881.46
2015,France,118588.66
2015,Italy,41945.93
2015,Netherlands,19534.42
2015,Poland,60876.33
2016,Spain,44204.32
2016,France,115597.05
2016,Italy,43729.38
2016,Netherlands,19153.77
2016,Poland,62273.41
2017,Spain,45927.43
2017,France,118014.05
2017,Italy,42513.92
2017,Netherlands,19741.89
2017,Poland,66188.4
2018,Spain,46535.54
2018,France,114885.51
2018,Italy,42491.84
2018,Netherlands,19471.62
2018,Poland,66519.6
2019,Spain,45437.38
2019,France,113979.08
2019,Italy,42178.47
2019,Netherlands,19120.97
2019,Poland,62847.4
2020,Spain,46656.73
2020,France,109156.89
2020,Italy,45812.37
2020,Netherlands,19168.4
2020,Poland,65997.32
2021,Spain,46200.35
2021,France,109272.27
2021,Italy,45251.82
2021,Netherlands,18825.17
2021,Poland,64896.14
