year,name,n
2012,Spain,50185.63
2012,France,126783.46
2012,Italy,60985.79
2012,Netherlands,26042.27
2012,Poland,73972.0
2013,Spain,52133.23
2013,France,125847.22
2013,Italy,58236.01
2013,Netherlands,26814.62
2013,Poland,74738.84
2014,Spain,54230.41
2014,France,129862.36
2014,Italy,57868.75
2014,Netherlands,27313.21
2014,Poland,73456.38
2015,Spain,54880.47
2015,France,129201.44
2015,Italy,56908.41
2015,Netherlands,27994.7
2015,Poland,70952.12
2016,Spain,54149.1
2016,France,125425.63
2016,Italy,58522.7
2016,Netherlands,26913.69
2016,Poland,72773.44
2017,Spain,56286.05
2017,France,130117.09
2017,Italy,57625.15
2017,Netherlands,27749.57
2017,Poland,76192.55
2018,Spain,56994.64
2018,France,124768.94
2018,Italy,57605.73
2018,Netherlands,27009.59
2018,Poland,76864.72
2019,Spain,56253.89
2019,France,123409.85
2019,Italy,56944.31
2019,Netherlands,26668.78
2019,Poland,73179.67
2020,Spain,57467.49
2020,France,117836.15
2020,Italy,59672.24
2020,Netherlands,26021.47
2020,Poland,76087.86
2021,Spain,57285.13
2021,France,118407.4
2021,Italy,59298.87
2021,Netherlands,25146.67
2021,Poland,75871.36
