month,year,temp
1,1993_min,-9.0
1,1993_max,12.0
1,1993_avg,0.43548387096774194
2,1993_min,-6.0
2,1993_max,11.0
2,1993_avg,1.6428571428571428
3,1993_min,-5.0
3,1993_max,27.0
3,1993_avg,8.0
4,1993_min,-1.0
4,1993_max,30.0
4,1993_avg,13.183333333333334
5,1993_min,6.0
5,1993_max,34.0
5,1993_avg,17.983870967741936
6,1993_min,10.0
6,1993_max,32.0
6,1993_avg,20.966666666666665
7,1993_min,8.0
7,1993_max,32.0
7,1993_avg,21.580645161290324
8,1993_min,7.0
8,1993_max,37.0
8,1993_avg,23.161290322580644
9,1993_min,6.0
9,1993_max,29.0
9,1993_avg,16.8
10,1993_min,-1.0
10,1993_max,21.0
10,1993_avg,10.64516129032258
11,1993_min,-7.0
11,1993_max,16.0
11,1993_avg,4.85
12,1993_min,-11.0
12,1993_max,10.0
12,1993_avg,0.3064516129032258
1,1997_min,-6.0
1,1997_max,8.0
1,1997_avg,1.2419354838709677
2,1997_min,-7.0
2,1997_max,14.0
2,1997_avg,3.3392857142857144
3,1997_min,-2.0
3,1997_max,25.0
3,1997_avg,10.161290322580646
4,1997_min,-1.0
4,1997_max,26.0
4,1997_avg,11.7
5,1997_min,5.0
5,1997_max,32.0
5,1997_avg,17.048387096774192
6,1997_min,8.0
6,1997_max,32.0
6,1997_avg,19.55
7,1997_min,9.0
7,1997_max,33.0
7,1997_avg,21.403225806451612
8,1997_min,10.0
8,1997_max,35.0
8,1997_avg,22.580645161290324
9,1997_min,6.0
9,1997_max,33.0
9,1997_avg,19.7
10,1997_min,-5.0
10,1997_max,26.0
10,1997_avg,11.016129032258064
11,1997_min,-3.0
11,1997_max,16.0
11,1997_avg,5.333333333333333
12,1997_min,-7.0
12,1997_max,13.0
12,1997_avg,2.1451612903225805
1,2001_min,-8.0
1,2001_max,9.0
1,2001_avg,1.3225806451612903
2,2001_min,-6.0
2,2001_max,14.0
2,2001_avg,4.071428571428571
3,2001_min,-1.0
3,2001_max,22.0
3,2001_avg,9.790322580645162
4,2001_min,0.0
4,2001_max,24.0
4,2001_avg,11.366666666666667
5,2001_min,7.0
5,2001_max,34.0
5,2001_avg,19.43548387096774
6,2001_min,6.0
6,2001_max,34.0
6,2001_avg,20.033333333333335
7,2001_min,12.0
7,2001_max,36.0
7,2001_avg,23.56451612903226
8,2001_min,10.0
8,2001_max,34.0
8,2001_avg,23.451612903225808
9,2001_min,3.0
9,2001_max,28.0
9,2001_avg,15.316666666666666
10,2001_min,5.0
10,2001_max,22.0
10,2001_avg,13.451612903225806
11,2001_min,-6.0
11,2001_max,17.0
11,2001_avg,3.7
12,2001_min,-11.0
12,2001_max,13.0
12,2001_avg,-0.9193548387096774
1,2005_min,-6.7
1,2005_max,11.0
1,2005_avg,0.7161290322580645
2,2005_min,-6.8
2,2005_max,12.2
2,2005_avg,2.4714285714285715
3,2005_min,-8.2
3,2005_max,26.2
3,2005_avg,8.51290322580645
4,2005_min,2.9
4,2005_max,27.3
